cell_id,WBP5,is_cancer,site,non_cancer_type,compartment,patient,detected
HNSCC18_P3_G06_S366_comb,5.6214,0,Primary,0,0,18,TRUE
HNSCC17_P7_F03_S159_comb,4.894,0,Primary,Endothelial,Endothelial,17,TRUE
HNSCC_17_P10_H02_S278_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P16_E08_S248_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC16_P2_C03_S27_comb,5.175,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC18_P7_F04_S160_comb,2.2678,1,Primary,0,Cancer cells,18,TRUE
HNSCC18_P15_A12_S12_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC_17_P10_A12_S204_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P2_D04_S136_comb,0,1,Primary,0,Cancer cells,18,FALSE
HNSCC_17_P10_H01_S277_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC16_P2_B01_S13_comb,0,0,Primary,Fibroblast,Fibroblast,16,FALSE
HNSCC16_P2_G09_S81_comb,5.071,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC18_P15_F12_S72_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC_17_P9_G06_S78_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC_17_P10_F08_S260_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC16_P9_C07_S223_comb,0,0,Primary,Macrophage,Macrophage,16,FALSE
HNSCC_17_P10_E08_S248_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC16_P2_D11_S47_comb,5.3929,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC16_P2_G03_S75_comb,4.795,0,Primary,Endothelial,Endothelial,16,TRUE
HNSCC16_P2_F08_S68_comb,4.821,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC18_P2_H10_S190_comb,0,1,Primary,0,Cancer cells,18,FALSE
HNSCC18_P13_H09_S381_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P3_E07_S343_comb,0,0,Primary,Fibroblast,Fibroblast,18,FALSE
HNSCC18_P16_B10_S214_comb,0,0,Primary,Macrophage,Macrophage,18,FALSE
HNSCC17_P2_B06_S18_comb,3.2663,1,Primary,0,Cancer cells,17,TRUE
HNSCC17_P2_D07_S43_comb,0,1,Primary,0,Cancer cells,17,FALSE
HNSCC_17_P9_D02_S38_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC_17_P9_H11_S95_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P16_F06_S258_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P15_B07_S19_comb,0,0,Primary,T cell,T cell,18,FALSE
